id_card,to_pay,pay_1_no,pay_1,pay_2_no,pay_2,pay_3_no,pay_3,sport_no,sport
e20100384,450,2508,450,,,,,,
e20131089,300,,,,,,,,
e20120509,550,1417,250,4057,300,,,,
e20100393,450,3344,225,5649,225,,,,
e20100042,450,2498,200,5261,250,,,,
e20100656,0,,,,,,,,
e20110426,450,1475,450,,,,,e20110426,
e20100372,450,85,250,4801,200,,,,
e20121232,0,,,,,,,,
e20100660,450,3354,250,5167,200,,,,
e20100379,0,,,,,,,,
e20131237,0,,,,,,,,
e20100125,450,2109,225,5479,225,,,,
e20100094,0,,,,,,,,
e20100611,450,2339,450,,,,,,
e2009299,225,,,,,,,e2009299,
e20111060,0,,,,,,,,
e20100598,225,2030,112.5,3715,112.5,,,,
e20101012,225,2384,120,5354,105,,,,
e20100110,450,,,,,,,,
e20100514,0,,,,,,,,
e20110030,450,1358,200,5005,250,,,e20110030,
e20100688,0,,,,,,,,
,450,,,,,,,,
,450,2445,250,4790,200,,,,
,450,1292,225,4265,225,,,,
e20100241,450,3286,450,,,,,,
e20100002,450,2370,450,,,,,,
e20120458,500,4991,500,,,,,,
e20100490,450,2495,225,4651,225,,,,
e20100433,450,,,,,,,,
e20121230,450,2562,450,,,,,,
e20100360,450,1478,350,3561,100,,,,
e20110067,450,2864,200,4999,250,,,e20110067,
e2009451,450,,,,,,,,
e20131218,0,,,,,,,,
e20100219,0,,,,,,,,
e20110693,450,2574,230,4403,220,,,e20110693,
e20121237,450,,,,,,,e20121237,
e20100646,450,3250,450,,,,,,
e20100621,450,3475,225,5576,225,,,,
e20100648,0,,,,,,,,
e20121244,225,1708,225,,,,,,
e20100672,450,3505,450,,,,,,
e20100600,450,2463,220,4190,230,,,,
e20120040,500,1325,250,3736,250,,,,
e20100134,450,1632,225,5161,225,,,,
e20100501,450,3105,450,,,,,,
e20100252,450,2535,200,4672,250,,,,
e20110451,225,3371,225,,,,,e20110451,
e20110421,0,,,,,,,e20110421,
e2009402,450,3595,200,5692,250,,,,
e2009070,450,,,,,,,,
e20100407,450,2001,200,5701,250,,,,
e20100233,450,3682,220,5678,230,,,,
e20100362,0,,,,,,,,
e20100165,450,,,,,,,e20100165,
e20110280,450,3042,225,5550,225,,,e20110280,
e20130198,550,3548,550,,,,,,
e20110625,450,3087,450,,,,,e20110625,
e20100033,450,,,,,,,,
e20100275,450,5389,450,,,,,,
e20100085,450,+,100,5451,350,,,,
e20120701,0,,,,,,,,
e20100359,450,1838,200,4721,250,,,,
e20100546,450,2247,450,,,,,,
e20100533,450,2673,220,5310,230,,,,
e20100636,450,2186,250,5622,200,,,,
e20120535,500,5333,500,,,,,,
e20131133,0,,,,,,,,
e20100142,450,2816,250,5499,200,,,,
e20100663,450,2334,225,3473,225,,,,
e20100004,450,3638,450,,,,,,
e20100205,450,1808,225,5063,225,,,,
e20110333,450,1244,225,4158,225,,,e20110333,
e20100419,225,3025,225,,,,,,
e20100510,450,1239,225,3814,225,,,,
e20100071,225,1958,100,5123,125,,,,
e20110437,450,,,,,,,e20110437,
e20110064,450,2557,225,5175,225,,,e20110064,
e20100628,450,2745,450,,,,,,
e20100735,225,1540,100,5529,125,,,,
e20100655,450,1488,200,5100,250,,,,
e20110019,450,2920,200,5302,250,,,e20110019,
e20110788,450,2549,225,5758,225,,,e20110788,
e20100390,450,2359,450,,,,,,
e20100398,450,1965,120,4874,330,,,,
e20100495,450,2796,100,5707,350,,,,
e20100606,450,3469,100,5709,350,,,,
e20121226,0,,,,,,,,
e20100049,0,,,,,,,,
e2009436,450,,,,,,,,
e20100207,450,2609,225,5145,225,,,,
